TMA SUMMARY REPORT (DFTs),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
General,,,,,,,,
0,,,,,,,,
{},,,,,,,,
Slave Address 0x54,,,,,,,,
a0,No desciption,dft_hex0x16,DFTtm8,0x54,0x16,0x02,7,TAI
vbias_23bb219c,No desciption,dft_hex0x16,DFTtm8,0x54,0x16,0x02,0,tdi
a0,No desciption,dft_hex0x16,DFTtm8,0x54,0x16,0x02,7,tdi
comparator_75c89176,No desciption,dft_hex0x16,DFTtm8,0x54,0x16,0x01,0,ten
ref_553d3e5b,No desciption,dft_hex0x16,DFTtm8,0x54,0x16,0x01,1,ten
refbg_553d3e5b,No desciption,dft_hex0x16,DFTtm8,0x54,0x16,0x01,2,ten
reference_553d3e5b,No desciption,dft_hex0x16,DFTtm8,0x54,0x16,0x01,3,ten
taiv2v5_23bb219c,No desciption,dft_hex0x16,DFTtm8,0x54,0x16,0x01,4,ten
vbias_23bb219c,No desciption,dft_hex0x16,DFTtm8,0x54,0x16,0x01,5,ten
taiv1v0f_23bb219c,No desciption,dft_hex0x16,DFTtm8,0x54,0x16,0x01,6,ten
taifbvbias_23bb219c,No desciption,dft_hex0x16,DFTtm8,0x54,0x16,0x01,7,ten
tdiokvbias_23bb219c,No desciption,dft_hex0x17,DFTtm8t,0x54,0x17,0x01,0,ten
enablevbias_23bb219c,No desciption,dft_hex0x17,DFTtm8t,0x54,0x17,0x01,1,ten
dft_hex0x17_ten,No desciption,dft_hex0x17,DFTtm8t,0x54,0x17,0x01,7,ten
"XWALTZ,XceleraCORE,XSOFTSTART,XDEBUG",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
81f80d4d,No desciption,dft_hex0x18,DFTtm8,0x54,0x18,0x02,0,TAI
a0,No desciption,dft_hex0x18,DFTtm8,0x54,0x18,0x02,7,TAI
528f048c,No desciption,dft_hex0x18,DFTtm8,0x54,0x18,0x02,0,tdi
ed87e5db,No desciption,dft_hex0x18,DFTtm8,0x54,0x18,0x02,1,tdi
f665b623,No desciption,dft_hex0x18,DFTtm8,0x54,0x18,0x02,2,tdi
a0,No desciption,dft_hex0x18,DFTtm8,0x54,0x18,0x02,7,tdi
528f048c,No desciption,dft_hex0x18,DFTtm8,0x54,0x18,0x01,2,ten
ed87e5db,No desciption,dft_hex0x18,DFTtm8,0x54,0x18,0x01,5,ten
f665b623,No desciption,dft_hex0x18,DFTtm8,0x54,0x18,0x01,6,ten
